Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Girls School,1,5.6%,1,,5.6%,1,5.9%,,1,9.1%,1,,11.1%,0,0.0%,,0,0.0%,0,,0.0%
Detention,0,0.0%,1,,5.6%,1,5.9%,,0,0.0%,0,,0.0%,0,0.0%,,1,11.1%,3,,30.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,10.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2016",,"Feb 29, 2016",,,"Mar 31, 2016",,,"Apr 30, 2016",,"May 31, 2016",,,"Jun 30, 2016",,,"Jul 31, 2016",,"Aug 31, 2016",,
Report Period,Sep 2016,,Oct 2016,,,Nov 2016,,,Dec 2016,,Jan 2017,,,Feb 2017,,,Mar 2017,,Apr 2017,,
Total Children in Care,13,100.0%,13,,100.0%,13,100.0%,,13,100.0%,13,,100.0%,15,100.0%,,18,100.0%,17,,100.0%
Total Family-like setting,2,15.4%,2,,15.4%,2,15.4%,,1,7.7%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.9%
Relative foster home,1,7.7%,1,,7.7%,1,7.7%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,7.7%,1,,7.7%,1,7.7%,,1,7.7%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.9%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,11,84.6%,11,,84.6%,11,84.6%,,12,92.3%,13,,100.0%,15,100.0%,,18,100.0%,16,,94.1%
Group Home,2,15.4%,2,,15.4%,2,15.4%,,2,15.4%,2,,15.4%,2,13.3%,,4,22.2%,3,,17.6%
Residential Treatment,2,15.4%,1,,7.7%,0,0.0%,,0,0.0%,0,,0.0%,1,6.7%,,1,5.6%,2,,11.8%
Psychiatric RTC,1,7.7%,1,,7.7%,1,7.7%,,1,7.7%,1,,7.7%,1,6.7%,,1,5.6%,1,,5.9%
Boys School,2,15.4%,5,,38.5%,5,38.5%,,6,46.2%,7,,53.8%,7,46.7%,,7,38.9%,7,,41.2%
Girls School,2,15.4%,2,,15.4%,2,15.4%,,3,23.1%,3,,23.1%,2,13.3%,,2,11.1%,2,,11.8%
Detention,1,7.7%,0,,0.0%,1,7.7%,,0,0.0%,0,,0.0%,2,13.3%,,2,11.1%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,1,7.7%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,5.6%,1,,5.9%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2016",,"Oct 31, 2016",,,"Nov 30, 2016",,,"Dec 31, 2016",,"Jan 31, 2017",,,"Feb 28, 2017",,,"Mar 31, 2017",,"Apr 30, 2017",,
Report Period,May 2017,,Jun 2017,,,Jul 2017,,,Aug 2017,,Sep 2017,,,Oct 2017,,,Nov 2017,,Dec 2017,,
Total Children in Care,15,100.0%,12,,100.0%,13,100.0%,,12,100.0%,13,,100.0%,15,100.0%,,13,100.0%,14,,100.0%
Total Family-like setting,2,13.3%,1,,8.3%,1,7.7%,,1,8.3%,2,,15.4%,1,6.7%,,1,7.7%,0,,0.0%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,6.7%,1,,8.3%,1,7.7%,,1,8.3%,1,,7.7%,1,6.7%,,1,7.7%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,6.7%,0,,0.0%,0,0.0%,,0,0.0%,1,,7.7%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,13,86.7%,11,,91.7%,12,92.3%,,11,91.7%,11,,84.6%,14,93.3%,,12,92.3%,14,,100.0%
Group Home,2,13.3%,0,,0.0%,1,7.7%,,1,8.3%,1,,7.7%,1,6.7%,,0,0.0%,2,,14.3%
Residential Treatment,2,13.3%,2,,16.7%,2,15.4%,,2,16.7%,1,,7.7%,0,0.0%,,0,0.0%,0,,0.0%
Psychiatric RTC,1,6.7%,1,,8.3%,1,7.7%,,1,8.3%,1,,7.7%,1,6.7%,,1,7.7%,1,,7.1%
Boys School,7,46.7%,7,,58.3%,7,53.8%,,6,50.0%,6,,46.2%,8,53.3%,,8,61.5%,7,,50.0%
Girls School,1,6.7%,1,,8.3%,1,7.7%,,1,8.3%,1,,7.7%,3,20.0%,,3,23.1%,4,,28.6%
Detention,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,7.7%,1,6.7%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2017",,"Jun 30, 2017",,,"Jul 31, 2017",,,"Aug 31, 2017",,"Sep 30, 2017",,,"Oct 31, 2017",,,"Nov 30, 2017",,"Dec 31, 2017",,
Report Period,,Jan 2018,,,,Feb 2018,,,,Mar 2018,,,,Apr 2018,,,,May 2018,,,
Total Children in Care,,15,,100.0%,,15,,100.0%,,15,,100.0%,,15,,100.0%,,15,,100.0%,
Total Family-like setting,,0,,0.0%,,0,,0.0%,,0,,0.0%,,1,,6.7%,,1,,6.7%,
Relative foster home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,1,,6.7%,,1,,6.7%,
Non-relative foster home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Pre-adoptive home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Trial Home Visit,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Supervised Independent Living,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Therapeutic FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Therapeutic FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Total Group Care,,15,,100.0%,,15,,100.0%,,15,,100.0%,,14,,93.3%,,14,,93.3%,
Group Home,,1,,6.7%,,1,,6.7%,,1,,6.7%,,2,,13.3%,,3,,20.0%,
Residential Treatment,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Psychiatric RTC,,1,,6.7%,,1,,6.7%,,1,,6.7%,,0,,0.0%,,0,,0.0%,
Boys School,,7,,46.7%,,7,,46.7%,,7,,46.7%,,6,,40.0%,,6,,40.0%,
Girls School,,4,,26.7%,,4,,26.7%,,4,,26.7%,,4,,26.7%,,3,,20.0%,
Detention,,2,,13.3%,,2,,13.3%,,2,,13.3%,,2,,13.3%,,2,,13.3%,
Crisis Center,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Hospital,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
State Hospital,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Jail,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Runaway,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Interim,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Unknown,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Date data are based,,"Jan 31, 2018",,,,"Feb 28, 2018",,,,"Mar 31, 2018",,,,"Apr 30, 2018",,,,"May 31, 2018",,,
Legend,,,,,,,,,,,,,,,,,,,,,
Total Children in Care,,,,,,Total children on caseload anytime on the last day of the Report Period,,,,,,,,,,,,,,,
Total Family-like setting,,,,,,(of Total) Children placed in a family-like setting,,,,,,,,,,,,,,,
Relative foster home,,,,,,Relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Non-relative foster home,,,,,,Non-relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Pre-adoptive home,,,,,,Pre-adoptive home (sub category of Substitute Care),,,,,,,,,,,,,,,
Trial Home Visit,,,,,,Trial Home Visit (sub category of Family Like setting),,,,,,,,,,,,,,,
Supervised Independent Living,,,,,,Supervised Independent Living (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Non Relative,,,,,,Long Term FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Relative,,,,,,Long Term FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Non Relative,,,,,,Specialized FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Relative,,,,,,Specialized FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Non Relative,,,,,,Therapeutic FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Relative,,,,,,Therapeutic FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Total Group Care,,,,,,(of Total) Children placed in group care setting,,,,,,,,,,,,,,,
Group Home,,,,,,Group home or residential placement setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Residential Treatment,,,,,,Children in an Residential Treatment setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Psychiatric RTC,,,,,,Children in a Psychiatric RTC setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Boys School,,,,,,Children in a Boys School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Girls School,,,,,,Children in a Girls School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Detention,,,,,,Children in a Detention setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Crisis Center,,,,,,Children in a Crisis Center setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Hospital,,,,,,Children in a Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
State Hospital,,,,,,Children in a State Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Jail,,,,,,Children in a Jail setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Runaway,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Interim,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Unknown,,,,,,(of Total) Children whose placement setting is unknown,,,,,,,,,,,,,,,
Date data are based,,,,,,The point in time date on which the level of care data are reported,,,,,,,,,,,,,,,
Selected Filter(s),,,,,,,,,,,,,,,,,,,,,
Program Type Equals Probation,,,,,,,,,,,,,,,,,,,,,
Judicial District Equals Judicial District 4,,,,,,,,,,,,,,,,,,,,,
