Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Girls School,1,2.6%,3,,7.1%,3,8.1%,,3,7.5%,3,,7.5%,3,8.1%,,4,10.3%,3,,9.7%
Detention,2,5.3%,0,,0.0%,0,0.0%,,1,2.5%,0,,0.0%,1,2.7%,,3,7.7%,1,,3.2%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,2,5.0%,4,,10.0%,2,5.4%,,3,7.7%,2,,6.5%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,2.6%,1,,3.2%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2016",,"Feb 29, 2016",,,"Mar 31, 2016",,,"Apr 30, 2016",,"May 31, 2016",,,"Jun 30, 2016",,,"Jul 31, 2016",,"Aug 31, 2016",,
Report Period,Sep 2016,,Oct 2016,,,Nov 2016,,,Dec 2016,,Jan 2017,,,Feb 2017,,,Mar 2017,,Apr 2017,,
Total Children in Care,33,100.0%,33,,100.0%,35,100.0%,,34,100.0%,40,,100.0%,42,100.0%,,39,100.0%,36,,100.0%
Total Family-like setting,1,3.0%,1,,3.0%,2,5.7%,,1,2.9%,1,,2.5%,1,2.4%,,2,5.1%,1,,2.8%
Relative foster home,0,0.0%,0,,0.0%,1,2.9%,,1,2.9%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,3.0%,1,,3.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,1,2.9%,,0,0.0%,0,,0.0%,1,2.4%,,2,5.1%,1,,2.8%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,2.5%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,32,97.0%,32,,97.0%,33,94.3%,,33,97.1%,39,,97.5%,41,97.6%,,36,92.3%,34,,94.4%
Group Home,6,18.2%,6,,18.2%,5,14.3%,,3,8.8%,6,,15.0%,4,9.5%,,1,2.6%,1,,2.8%
Residential Treatment,9,27.3%,9,,27.3%,10,28.6%,,16,47.1%,18,,45.0%,19,45.2%,,18,46.2%,14,,38.9%
Psychiatric RTC,5,15.2%,4,,12.1%,5,14.3%,,7,20.6%,7,,17.5%,9,21.4%,,6,15.4%,5,,13.9%
Boys School,6,18.2%,6,,18.2%,6,17.1%,,5,14.7%,4,,10.0%,3,7.1%,,8,20.5%,9,,25.0%
Girls School,4,12.1%,4,,12.1%,4,11.4%,,2,5.9%,2,,5.0%,2,4.8%,,1,2.6%,2,,5.6%
Detention,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,2.5%,2,4.8%,,1,2.6%,3,,8.3%
Crisis Center,2,6.1%,3,,9.1%,2,5.7%,,0,0.0%,1,,2.5%,2,4.8%,,1,2.6%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,1,2.9%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,2.6%,1,,2.8%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2016",,"Oct 31, 2016",,,"Nov 30, 2016",,,"Dec 31, 2016",,"Jan 31, 2017",,,"Feb 28, 2017",,,"Mar 31, 2017",,"Apr 30, 2017",,
Report Period,May 2017,,Jun 2017,,,Jul 2017,,,Aug 2017,,Sep 2017,,,Oct 2017,,,Nov 2017,,Dec 2017,,
Total Children in Care,37,100.0%,38,,100.0%,39,100.0%,,35,100.0%,32,,100.0%,30,100.0%,,27,100.0%,29,,100.0%
Total Family-like setting,1,2.7%,0,,0.0%,1,2.6%,,1,2.9%,1,,3.1%,1,3.3%,,2,7.4%,3,,10.3%
Relative foster home,0,0.0%,0,,0.0%,1,2.6%,,1,2.9%,1,,3.1%,1,3.3%,,1,3.7%,1,,3.4%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,3.7%,2,,6.9%
Supervised Independent Living,1,2.7%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,35,94.6%,37,,97.4%,37,94.9%,,33,94.3%,31,,96.9%,29,96.7%,,25,92.6%,25,,86.2%
Group Home,2,5.4%,1,,2.6%,1,2.6%,,3,8.6%,2,,6.3%,3,10.0%,,4,14.8%,1,,3.4%
Residential Treatment,11,29.7%,12,,31.6%,14,35.9%,,12,34.3%,11,,34.4%,12,40.0%,,9,33.3%,11,,37.9%
Psychiatric RTC,7,18.9%,9,,23.7%,8,20.5%,,5,14.3%,5,,15.6%,2,6.7%,,1,3.7%,0,,0.0%
Boys School,7,18.9%,9,,23.7%,10,25.6%,,8,22.9%,7,,21.9%,6,20.0%,,5,18.5%,5,,17.2%
Girls School,3,8.1%,3,,7.9%,2,5.1%,,2,5.7%,2,,6.3%,2,6.7%,,3,11.1%,2,,6.9%
Detention,2,5.4%,2,,5.3%,0,0.0%,,0,0.0%,1,,3.1%,0,0.0%,,0,0.0%,1,,3.4%
Crisis Center,2,5.4%,1,,2.6%,2,5.1%,,3,8.6%,3,,9.4%,3,10.0%,,1,3.7%,3,,10.3%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,1,3.3%,,1,3.7%,1,,3.4%
Jail,1,2.7%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,1,3.7%,1,,3.4%
Runaway,1,2.7%,1,,2.6%,1,2.6%,,1,2.9%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,3.4%
Date data are based,"May 31, 2017",,"Jun 30, 2017",,,"Jul 31, 2017",,,"Aug 31, 2017",,"Sep 30, 2017",,,"Oct 31, 2017",,,"Nov 30, 2017",,"Dec 31, 2017",,
Report Period,,Jan 2018,,,,Feb 2018,,,,Mar 2018,,,,Apr 2018,,,,May 2018,,,
Total Children in Care,,25,,100.0%,,27,,100.0%,,31,,100.0%,,34,,100.0%,,36,,100.0%,
Total Family-like setting,,2,,8.0%,,1,,3.7%,,1,,3.2%,,2,,5.9%,,3,,8.3%,
Relative foster home,,1,,4.0%,,0,,0.0%,,0,,0.0%,,1,,2.9%,,1,,2.8%,
Non-relative foster home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,1,,2.8%,
Pre-adoptive home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Trial Home Visit,,1,,4.0%,,1,,3.7%,,1,,3.2%,,1,,2.9%,,1,,2.8%,
Supervised Independent Living,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Therapeutic FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Therapeutic FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Total Group Care,,22,,88.0%,,25,,92.6%,,29,,93.5%,,31,,91.2%,,32,,88.9%,
Group Home,,1,,4.0%,,3,,11.1%,,2,,6.5%,,3,,8.8%,,2,,5.6%,
Residential Treatment,,11,,44.0%,,13,,48.1%,,13,,41.9%,,14,,41.2%,,13,,36.1%,
Psychiatric RTC,,1,,4.0%,,2,,7.4%,,2,,6.5%,,2,,5.9%,,5,,13.9%,
Boys School,,4,,16.0%,,4,,14.8%,,4,,12.9%,,6,,17.6%,,7,,19.4%,
Girls School,,3,,12.0%,,3,,11.1%,,3,,9.7%,,3,,8.8%,,2,,5.6%,
Detention,,1,,4.0%,,0,,0.0%,,3,,9.7%,,2,,5.9%,,2,,5.6%,
Crisis Center,,1,,4.0%,,0,,0.0%,,1,,3.2%,,1,,2.9%,,1,,2.8%,
Hospital,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
State Hospital,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Jail,,0,,0.0%,,0,,0.0%,,1,,3.2%,,0,,0.0%,,0,,0.0%,
Runaway,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Interim,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Unknown,,1,,4.0%,,1,,3.7%,,1,,3.2%,,1,,2.9%,,1,,2.8%,
Date data are based,,"Jan 31, 2018",,,,"Feb 28, 2018",,,,"Mar 31, 2018",,,,"Apr 30, 2018",,,,"May 31, 2018",,,
Legend,,,,,,,,,,,,,,,,,,,,,
Total Children in Care,,,,,,Total children on caseload anytime on the last day of the Report Period,,,,,,,,,,,,,,,
Total Family-like setting,,,,,,(of Total) Children placed in a family-like setting,,,,,,,,,,,,,,,
Relative foster home,,,,,,Relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Non-relative foster home,,,,,,Non-relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Pre-adoptive home,,,,,,Pre-adoptive home (sub category of Substitute Care),,,,,,,,,,,,,,,
Trial Home Visit,,,,,,Trial Home Visit (sub category of Family Like setting),,,,,,,,,,,,,,,
Supervised Independent Living,,,,,,Supervised Independent Living (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Non Relative,,,,,,Long Term FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Relative,,,,,,Long Term FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Non Relative,,,,,,Specialized FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Relative,,,,,,Specialized FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Non Relative,,,,,,Therapeutic FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Relative,,,,,,Therapeutic FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Total Group Care,,,,,,(of Total) Children placed in group care setting,,,,,,,,,,,,,,,
Group Home,,,,,,Group home or residential placement setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Residential Treatment,,,,,,Children in an Residential Treatment setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Psychiatric RTC,,,,,,Children in a Psychiatric RTC setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Boys School,,,,,,Children in a Boys School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Girls School,,,,,,Children in a Girls School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Detention,,,,,,Children in a Detention setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Crisis Center,,,,,,Children in a Crisis Center setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Hospital,,,,,,Children in a Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
State Hospital,,,,,,Children in a State Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Jail,,,,,,Children in a Jail setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Runaway,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Interim,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Unknown,,,,,,(of Total) Children whose placement setting is unknown,,,,,,,,,,,,,,,
Date data are based,,,,,,The point in time date on which the level of care data are reported,,,,,,,,,,,,,,,
Selected Filter(s),,,,,,,,,,,,,,,,,,,,,
Program Type Equals Probation,,,,,,,,,,,,,,,,,,,,,
Judicial District Equals Judicial District 6,,,,,,,,,,,,,,,,,,,,,
