Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Girls School,2,9.1%,2,,10.0%,1,4.3%,,1,3.8%,1,,4.2%,1,4.2%,,1,4.2%,1,,4.8%
Detention,1,4.5%,0,,0.0%,3,13.0%,,5,19.2%,4,,16.7%,5,20.8%,,1,4.2%,1,,4.8%
Crisis Center,0,0.0%,0,,0.0%,2,8.7%,,2,7.7%,1,,4.2%,1,4.2%,,1,4.2%,1,,4.8%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,1,4.5%,1,,5.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2016",,"Feb 29, 2016",,,"Mar 31, 2016",,,"Apr 30, 2016",,"May 31, 2016",,,"Jun 30, 2016",,,"Jul 31, 2016",,"Aug 31, 2016",,
Report Period,Sep 2016,,Oct 2016,,,Nov 2016,,,Dec 2016,,Jan 2017,,,Feb 2017,,,Mar 2017,,Apr 2017,,
Total Children in Care,24,100.0%,25,,100.0%,25,100.0%,,21,100.0%,16,,100.0%,18,100.0%,,17,100.0%,21,,100.0%
Total Family-like setting,1,4.2%,1,,4.0%,2,8.0%,,2,9.5%,2,,12.5%,3,16.7%,,3,17.6%,3,,14.3%
Relative foster home,1,4.2%,1,,4.0%,1,4.0%,,1,4.8%,1,,6.3%,2,11.1%,,2,11.8%,2,,9.5%
Non-relative foster home,0,0.0%,0,,0.0%,1,4.0%,,1,4.8%,1,,6.3%,1,5.6%,,1,5.9%,1,,4.8%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,23,95.8%,24,,96.0%,23,92.0%,,19,90.5%,14,,87.5%,15,83.3%,,14,82.4%,18,,85.7%
Group Home,6,25.0%,4,,16.0%,6,24.0%,,5,23.8%,2,,12.5%,3,16.7%,,3,17.6%,3,,14.3%
Residential Treatment,3,12.5%,3,,12.0%,4,16.0%,,4,19.0%,1,,6.3%,1,5.6%,,2,11.8%,3,,14.3%
Psychiatric RTC,1,4.2%,1,,4.0%,1,4.0%,,0,0.0%,0,,0.0%,1,5.6%,,1,5.9%,2,,9.5%
Boys School,7,29.2%,9,,36.0%,8,32.0%,,6,28.6%,6,,37.5%,6,33.3%,,4,23.5%,5,,23.8%
Girls School,0,0.0%,1,,4.0%,1,4.0%,,1,4.8%,1,,6.3%,1,5.6%,,1,5.9%,1,,4.8%
Detention,5,20.8%,5,,20.0%,1,4.0%,,1,4.8%,3,,18.8%,1,5.6%,,1,5.9%,2,,9.5%
Crisis Center,1,4.2%,1,,4.0%,2,8.0%,,2,9.5%,1,,6.3%,2,11.1%,,2,11.8%,2,,9.5%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2016",,"Oct 31, 2016",,,"Nov 30, 2016",,,"Dec 31, 2016",,"Jan 31, 2017",,,"Feb 28, 2017",,,"Mar 31, 2017",,"Apr 30, 2017",,
Report Period,May 2017,,Jun 2017,,,Jul 2017,,,Aug 2017,,Sep 2017,,,Oct 2017,,,Nov 2017,,Dec 2017,,
Total Children in Care,27,100.0%,28,,100.0%,28,100.0%,,26,100.0%,27,,100.0%,30,100.0%,,34,100.0%,36,,100.0%
Total Family-like setting,3,11.1%,2,,7.1%,3,10.7%,,2,7.7%,2,,7.4%,2,6.7%,,2,5.9%,3,,8.3%
Relative foster home,2,7.4%,1,,3.6%,1,3.6%,,1,3.8%,1,,3.7%,1,3.3%,,1,2.9%,1,,2.8%
Non-relative foster home,1,3.7%,1,,3.6%,2,7.1%,,1,3.8%,1,,3.7%,1,3.3%,,1,2.9%,1,,2.8%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,2.8%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,24,88.9%,25,,89.3%,24,85.7%,,23,88.5%,24,,88.9%,27,90.0%,,31,91.2%,32,,88.9%
Group Home,3,11.1%,4,,14.3%,3,10.7%,,3,11.5%,3,,11.1%,3,10.0%,,2,5.9%,4,,11.1%
Residential Treatment,6,22.2%,7,,25.0%,8,28.6%,,10,38.5%,10,,37.0%,12,40.0%,,13,38.2%,11,,30.6%
Psychiatric RTC,2,7.4%,2,,7.1%,2,7.1%,,1,3.8%,1,,3.7%,2,6.7%,,2,5.9%,2,,5.6%
Boys School,5,18.5%,5,,17.9%,5,17.9%,,6,23.1%,7,,25.9%,7,23.3%,,10,29.4%,11,,30.6%
Girls School,1,3.7%,2,,7.1%,1,3.6%,,1,3.8%,1,,3.7%,2,6.7%,,2,5.9%,2,,5.6%
Detention,3,11.1%,4,,14.3%,4,14.3%,,2,7.7%,2,,7.4%,1,3.3%,,2,5.9%,1,,2.8%
Crisis Center,4,14.8%,1,,3.6%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,2.8%
Hospital,0,0.0%,0,,0.0%,1,3.6%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,1,,3.6%,1,3.6%,,1,3.8%,1,,3.7%,1,3.3%,,1,2.9%,1,,2.8%
Date data are based,"May 31, 2017",,"Jun 30, 2017",,,"Jul 31, 2017",,,"Aug 31, 2017",,"Sep 30, 2017",,,"Oct 31, 2017",,,"Nov 30, 2017",,"Dec 31, 2017",,
Report Period,,Jan 2018,,,,Feb 2018,,,,Mar 2018,,,,Apr 2018,,,,May 2018,,,
Total Children in Care,,34,,100.0%,,34,,100.0%,,30,,100.0%,,33,,100.0%,,35,,100.0%,
Total Family-like setting,,3,,8.8%,,3,,8.8%,,2,,6.7%,,2,,6.1%,,3,,8.6%,
Relative foster home,,1,,2.9%,,1,,2.9%,,1,,3.3%,,1,,3.0%,,1,,2.9%,
Non-relative foster home,,1,,2.9%,,1,,2.9%,,1,,3.3%,,1,,3.0%,,2,,5.7%,
Pre-adoptive home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Trial Home Visit,,1,,2.9%,,1,,2.9%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Supervised Independent Living,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Therapeutic FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Therapeutic FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Total Group Care,,30,,88.2%,,30,,88.2%,,27,,90.0%,,30,,90.9%,,31,,88.6%,
Group Home,,6,,17.6%,,5,,14.7%,,5,,16.7%,,5,,15.2%,,5,,14.3%,
Residential Treatment,,10,,29.4%,,10,,29.4%,,8,,26.7%,,8,,24.2%,,7,,20.0%,
Psychiatric RTC,,1,,2.9%,,2,,5.9%,,2,,6.7%,,2,,6.1%,,3,,8.6%,
Boys School,,10,,29.4%,,10,,29.4%,,6,,20.0%,,8,,24.2%,,9,,25.7%,
Girls School,,1,,2.9%,,1,,2.9%,,2,,6.7%,,3,,9.1%,,3,,8.6%,
Detention,,2,,5.9%,,1,,2.9%,,3,,10.0%,,3,,9.1%,,4,,11.4%,
Crisis Center,,0,,0.0%,,0,,0.0%,,1,,3.3%,,1,,3.0%,,0,,0.0%,
Hospital,,0,,0.0%,,1,,2.9%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
State Hospital,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Jail,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Runaway,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Interim,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Unknown,,1,,2.9%,,1,,2.9%,,1,,3.3%,,1,,3.0%,,1,,2.9%,
Date data are based,,"Jan 31, 2018",,,,"Feb 28, 2018",,,,"Mar 31, 2018",,,,"Apr 30, 2018",,,,"May 31, 2018",,,
Legend,,,,,,,,,,,,,,,,,,,,,
Total Children in Care,,,,,,Total children on caseload anytime on the last day of the Report Period,,,,,,,,,,,,,,,
Total Family-like setting,,,,,,(of Total) Children placed in a family-like setting,,,,,,,,,,,,,,,
Relative foster home,,,,,,Relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Non-relative foster home,,,,,,Non-relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Pre-adoptive home,,,,,,Pre-adoptive home (sub category of Substitute Care),,,,,,,,,,,,,,,
Trial Home Visit,,,,,,Trial Home Visit (sub category of Family Like setting),,,,,,,,,,,,,,,
Supervised Independent Living,,,,,,Supervised Independent Living (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Non Relative,,,,,,Long Term FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Relative,,,,,,Long Term FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Non Relative,,,,,,Specialized FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Relative,,,,,,Specialized FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Non Relative,,,,,,Therapeutic FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Relative,,,,,,Therapeutic FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Total Group Care,,,,,,(of Total) Children placed in group care setting,,,,,,,,,,,,,,,
Group Home,,,,,,Group home or residential placement setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Residential Treatment,,,,,,Children in an Residential Treatment setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Psychiatric RTC,,,,,,Children in a Psychiatric RTC setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Boys School,,,,,,Children in a Boys School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Girls School,,,,,,Children in a Girls School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Detention,,,,,,Children in a Detention setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Crisis Center,,,,,,Children in a Crisis Center setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Hospital,,,,,,Children in a Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
State Hospital,,,,,,Children in a State Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Jail,,,,,,Children in a Jail setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Runaway,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Interim,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Unknown,,,,,,(of Total) Children whose placement setting is unknown,,,,,,,,,,,,,,,
Date data are based,,,,,,The point in time date on which the level of care data are reported,,,,,,,,,,,,,,,
Selected Filter(s),,,,,,,,,,,,,,,,,,,,,
Program Type Equals Probation,,,,,,,,,,,,,,,,,,,,,
Judicial District Equals Judicial District 7,,,,,,,,,,,,,,,,,,,,,
