Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Girls School,4,21.1%,5,,25.0%,5,26.3%,,4,22.2%,3,,17.6%,3,18.8%,,3,18.8%,1,,5.9%
Detention,0,0.0%,0,,0.0%,0,0.0%,,1,5.6%,3,,17.6%,2,12.5%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,5.9%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2016",,"Feb 29, 2016",,,"Mar 31, 2016",,,"Apr 30, 2016",,"May 31, 2016",,,"Jun 30, 2016",,,"Jul 31, 2016",,"Aug 31, 2016",,
Report Period,Sep 2016,,Oct 2016,,,Nov 2016,,,Dec 2016,,Jan 2017,,,Feb 2017,,,Mar 2017,,Apr 2017,,
Total Children in Care,18,100.0%,18,,100.0%,19,100.0%,,18,100.0%,20,,100.0%,21,100.0%,,18,100.0%,16,,100.0%
Total Family-like setting,3,16.7%,3,,16.7%,2,10.5%,,0,0.0%,0,,0.0%,0,0.0%,,2,11.1%,2,,12.5%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,1,,6.3%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,3,16.7%,3,,16.7%,2,10.5%,,0,0.0%,0,,0.0%,0,0.0%,,2,11.1%,1,,6.3%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,15,83.3%,15,,83.3%,17,89.5%,,18,100.0%,20,,100.0%,21,100.0%,,16,88.9%,14,,87.5%
Group Home,5,27.8%,5,,27.8%,5,26.3%,,5,27.8%,6,,30.0%,6,28.6%,,4,22.2%,3,,18.8%
Residential Treatment,2,11.1%,3,,16.7%,3,15.8%,,3,16.7%,4,,20.0%,5,23.8%,,7,38.9%,6,,37.5%
Psychiatric RTC,2,11.1%,2,,11.1%,3,15.8%,,4,22.2%,5,,25.0%,5,23.8%,,4,22.2%,3,,18.8%
Boys School,5,27.8%,4,,22.2%,5,26.3%,,5,27.8%,4,,20.0%,4,19.0%,,1,5.6%,1,,6.3%
Girls School,1,5.6%,1,,5.6%,1,5.3%,,1,5.6%,1,,5.0%,1,4.8%,,0,0.0%,1,,6.3%
Detention,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2016",,"Oct 31, 2016",,,"Nov 30, 2016",,,"Dec 31, 2016",,"Jan 31, 2017",,,"Feb 28, 2017",,,"Mar 31, 2017",,"Apr 30, 2017",,
Report Period,May 2017,,Jun 2017,,,Jul 2017,,,Aug 2017,,Sep 2017,,,Oct 2017,,,Nov 2017,,Dec 2017,,
Total Children in Care,17,100.0%,17,,100.0%,16,100.0%,,16,100.0%,15,,100.0%,16,100.0%,,15,100.0%,15,,100.0%
Total Family-like setting,1,5.9%,1,,5.9%,1,6.3%,,1,6.3%,1,,6.7%,1,6.3%,,0,0.0%,1,,6.7%
Relative foster home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Non-relative foster home,1,5.9%,1,,5.9%,1,6.3%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,1,6.3%,1,,6.7%,1,6.3%,,0,0.0%,1,,6.7%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,16,94.1%,16,,94.1%,15,93.8%,,15,93.8%,14,,93.3%,15,93.8%,,15,100.0%,14,,93.3%
Group Home,3,17.6%,5,,29.4%,3,18.8%,,1,6.3%,0,,0.0%,4,25.0%,,3,20.0%,3,,20.0%
Residential Treatment,6,35.3%,4,,23.5%,4,25.0%,,4,25.0%,5,,33.3%,4,25.0%,,4,26.7%,4,,26.7%
Psychiatric RTC,4,23.5%,4,,23.5%,4,25.0%,,4,25.0%,3,,20.0%,3,18.8%,,4,26.7%,3,,20.0%
Boys School,1,5.9%,1,,5.9%,2,12.5%,,3,18.8%,3,,20.0%,2,12.5%,,2,13.3%,2,,13.3%
Girls School,1,5.9%,1,,5.9%,1,6.3%,,2,12.5%,3,,20.0%,2,12.5%,,2,13.3%,2,,13.3%
Detention,1,5.9%,1,,5.9%,1,6.3%,,1,6.3%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2017",,"Jun 30, 2017",,,"Jul 31, 2017",,,"Aug 31, 2017",,"Sep 30, 2017",,,"Oct 31, 2017",,,"Nov 30, 2017",,"Dec 31, 2017",,
Report Period,,Jan 2018,,,,Feb 2018,,,,Mar 2018,,,,Apr 2018,,,,May 2018,,,
Total Children in Care,,15,,100.0%,,16,,100.0%,,17,,100.0%,,15,,100.0%,,11,,100.0%,
Total Family-like setting,,0,,0.0%,,0,,0.0%,,1,,5.9%,,2,,13.3%,,1,,9.1%,
Relative foster home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Non-relative foster home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Pre-adoptive home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Trial Home Visit,,0,,0.0%,,0,,0.0%,,1,,5.9%,,2,,13.3%,,1,,9.1%,
Supervised Independent Living,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Therapeutic FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Therapeutic FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Total Group Care,,15,,100.0%,,16,,100.0%,,16,,94.1%,,13,,86.7%,,10,,90.9%,
Group Home,,3,,20.0%,,2,,12.5%,,3,,17.6%,,3,,20.0%,,2,,18.2%,
Residential Treatment,,5,,33.3%,,6,,37.5%,,6,,35.3%,,3,,20.0%,,2,,18.2%,
Psychiatric RTC,,3,,20.0%,,3,,18.8%,,3,,17.6%,,2,,13.3%,,1,,9.1%,
Boys School,,2,,13.3%,,1,,6.3%,,1,,5.9%,,2,,13.3%,,2,,18.2%,
Girls School,,2,,13.3%,,2,,12.5%,,2,,11.8%,,2,,13.3%,,2,,18.2%,
Detention,,0,,0.0%,,2,,12.5%,,1,,5.9%,,1,,6.7%,,1,,9.1%,
Crisis Center,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Hospital,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
State Hospital,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Jail,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Runaway,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Interim,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Unknown,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Date data are based,,"Jan 31, 2018",,,,"Feb 28, 2018",,,,"Mar 31, 2018",,,,"Apr 30, 2018",,,,"May 31, 2018",,,
Legend,,,,,,,,,,,,,,,,,,,,,
Total Children in Care,,,,,,Total children on caseload anytime on the last day of the Report Period,,,,,,,,,,,,,,,
Total Family-like setting,,,,,,(of Total) Children placed in a family-like setting,,,,,,,,,,,,,,,
Relative foster home,,,,,,Relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Non-relative foster home,,,,,,Non-relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Pre-adoptive home,,,,,,Pre-adoptive home (sub category of Substitute Care),,,,,,,,,,,,,,,
Trial Home Visit,,,,,,Trial Home Visit (sub category of Family Like setting),,,,,,,,,,,,,,,
Supervised Independent Living,,,,,,Supervised Independent Living (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Non Relative,,,,,,Long Term FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Relative,,,,,,Long Term FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Non Relative,,,,,,Specialized FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Relative,,,,,,Specialized FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Non Relative,,,,,,Therapeutic FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Relative,,,,,,Therapeutic FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Total Group Care,,,,,,(of Total) Children placed in group care setting,,,,,,,,,,,,,,,
Group Home,,,,,,Group home or residential placement setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Residential Treatment,,,,,,Children in an Residential Treatment setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Psychiatric RTC,,,,,,Children in a Psychiatric RTC setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Boys School,,,,,,Children in a Boys School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Girls School,,,,,,Children in a Girls School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Detention,,,,,,Children in a Detention setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Crisis Center,,,,,,Children in a Crisis Center setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Hospital,,,,,,Children in a Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
State Hospital,,,,,,Children in a State Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Jail,,,,,,Children in a Jail setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Runaway,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Interim,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Unknown,,,,,,(of Total) Children whose placement setting is unknown,,,,,,,,,,,,,,,
Date data are based,,,,,,The point in time date on which the level of care data are reported,,,,,,,,,,,,,,,
Selected Filter(s),,,,,,,,,,,,,,,,,,,,,
Program Type Equals Probation,,,,,,,,,,,,,,,,,,,,,
Judicial District Equals Judicial District 9,,,,,,,,,,,,,,,,,,,,,
