Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Girls School,2,3.6%,2,,3.4%,3,5.4%,,3,5.6%,3,,5.5%,2,3.8%,,2,4.1%,1,,2.1%
Detention,6,10.7%,8,,13.8%,9,16.1%,,5,9.3%,9,,16.4%,8,15.4%,,9,18.4%,9,,19.1%
Crisis Center,0,0.0%,1,,1.7%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,1,1.8%,0,,0.0%,2,3.6%,,1,1.9%,0,,0.0%,1,1.9%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Jan 31, 2016",,"Feb 29, 2016",,,"Mar 31, 2016",,,"Apr 30, 2016",,"May 31, 2016",,,"Jun 30, 2016",,,"Jul 31, 2016",,"Aug 31, 2016",,
Report Period,Sep 2016,,Oct 2016,,,Nov 2016,,,Dec 2016,,Jan 2017,,,Feb 2017,,,Mar 2017,,Apr 2017,,
Total Children in Care,49,100.0%,51,,100.0%,51,100.0%,,51,100.0%,45,,100.0%,45,100.0%,,46,100.0%,43,,100.0%
Total Family-like setting,7,14.3%,8,,15.7%,9,17.6%,,11,21.6%,11,,24.4%,9,20.0%,,10,21.7%,8,,18.6%
Relative foster home,1,2.0%,2,,3.9%,2,3.9%,,2,3.9%,1,,2.2%,1,2.2%,,2,4.3%,2,,4.7%
Non-relative foster home,6,12.2%,6,,11.8%,7,13.7%,,8,15.7%,9,,20.0%,7,15.6%,,7,15.2%,5,,11.6%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,1,2.0%,1,,2.2%,1,2.2%,,1,2.2%,1,,2.3%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,42,85.7%,42,,82.4%,42,82.4%,,39,76.5%,34,,75.6%,36,80.0%,,36,78.3%,35,,81.4%
Group Home,1,2.0%,1,,2.0%,1,2.0%,,1,2.0%,1,,2.2%,1,2.2%,,1,2.2%,1,,2.3%
Residential Treatment,13,26.5%,13,,25.5%,12,23.5%,,11,21.6%,7,,15.6%,7,15.6%,,7,15.2%,6,,14.0%
Psychiatric RTC,9,18.4%,9,,17.6%,10,19.6%,,9,17.6%,9,,20.0%,10,22.2%,,10,21.7%,9,,20.9%
Boys School,11,22.4%,12,,23.5%,11,21.6%,,11,21.6%,11,,24.4%,11,24.4%,,10,21.7%,10,,23.3%
Girls School,1,2.0%,1,,2.0%,1,2.0%,,1,2.0%,1,,2.2%,2,4.4%,,2,4.3%,2,,4.7%
Detention,7,14.3%,6,,11.8%,6,11.8%,,5,9.8%,3,,6.7%,4,8.9%,,5,10.9%,7,,16.3%
Crisis Center,0,0.0%,0,,0.0%,1,2.0%,,1,2.0%,0,,0.0%,1,2.2%,,1,2.2%,0,,0.0%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,2,,4.4%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,1,,2.0%,0,0.0%,,1,2.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"Sep 30, 2016",,"Oct 31, 2016",,,"Nov 30, 2016",,,"Dec 31, 2016",,"Jan 31, 2017",,,"Feb 28, 2017",,,"Mar 31, 2017",,"Apr 30, 2017",,
Report Period,May 2017,,Jun 2017,,,Jul 2017,,,Aug 2017,,Sep 2017,,,Oct 2017,,,Nov 2017,,Dec 2017,,
Total Children in Care,40,100.0%,44,,100.0%,44,100.0%,,44,100.0%,47,,100.0%,48,100.0%,,50,100.0%,45,,100.0%
Total Family-like setting,7,17.5%,7,,15.9%,7,15.9%,,9,20.5%,7,,14.9%,9,18.8%,,9,18.0%,12,,26.7%
Relative foster home,1,2.5%,2,,4.5%,2,4.5%,,2,4.5%,2,,4.3%,3,6.3%,,3,6.0%,3,,6.7%
Non-relative foster home,5,12.5%,4,,9.1%,4,9.1%,,6,13.6%,4,,8.5%,4,8.3%,,3,6.0%,6,,13.3%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,1,2.5%,1,,2.3%,1,2.3%,,0,0.0%,0,,0.0%,1,2.1%,,2,4.0%,2,,4.4%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,1,2.3%,1,,2.1%,1,2.1%,,1,2.0%,1,,2.2%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,33,82.5%,37,,84.1%,37,84.1%,,35,79.5%,40,,85.1%,39,81.3%,,41,82.0%,33,,73.3%
Group Home,1,2.5%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Residential Treatment,7,17.5%,11,,25.0%,15,34.1%,,13,29.5%,14,,29.8%,17,35.4%,,14,28.0%,11,,24.4%
Psychiatric RTC,7,17.5%,7,,15.9%,6,13.6%,,5,11.4%,4,,8.5%,6,12.5%,,7,14.0%,7,,15.6%
Boys School,8,20.0%,9,,20.5%,9,20.5%,,8,18.2%,8,,17.0%,7,14.6%,,5,10.0%,4,,8.9%
Girls School,2,5.0%,4,,9.1%,4,9.1%,,2,4.5%,3,,6.4%,2,4.2%,,2,4.0%,1,,2.2%
Detention,8,20.0%,5,,11.4%,2,4.5%,,6,13.6%,7,,14.9%,6,12.5%,,9,18.0%,8,,17.8%
Crisis Center,0,0.0%,1,,2.3%,1,2.3%,,1,2.3%,4,,8.5%,1,2.1%,,4,8.0%,2,,4.4%
Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
State Hospital,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Jail,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Runaway,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Interim,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Unknown,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Date data are based,"May 31, 2017",,"Jun 30, 2017",,,"Jul 31, 2017",,,"Aug 31, 2017",,"Sep 30, 2017",,,"Oct 31, 2017",,,"Nov 30, 2017",,"Dec 31, 2017",,
Report Period,,Jan 2018,,,,Feb 2018,,,,Mar 2018,,,,Apr 2018,,,,May 2018,,,
Total Children in Care,,43,,100.0%,,48,,100.0%,,47,,100.0%,,51,,100.0%,,47,,100.0%,
Total Family-like setting,,13,,30.2%,,14,,29.2%,,14,,29.8%,,14,,27.5%,,14,,29.8%,
Relative foster home,,4,,9.3%,,4,,8.3%,,4,,8.5%,,3,,5.9%,,4,,8.5%,
Non-relative foster home,,5,,11.6%,,6,,12.5%,,5,,10.6%,,6,,11.8%,,6,,12.8%,
Pre-adoptive home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Trial Home Visit,,3,,7.0%,,3,,6.3%,,4,,8.5%,,4,,7.8%,,3,,6.4%,
Supervised Independent Living,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Long Term FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Non Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Specialized FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Therapeutic FC Non Relative,,1,,2.3%,,1,,2.1%,,1,,2.1%,,1,,2.0%,,1,,2.1%,
Therapeutic FC Relative,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Total Group Care,,30,,69.8%,,33,,68.8%,,33,,70.2%,,36,,70.6%,,32,,68.1%,
Group Home,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Residential Treatment,,14,,32.6%,,12,,25.0%,,14,,29.8%,,15,,29.4%,,16,,34.0%,
Psychiatric RTC,,6,,14.0%,,7,,14.6%,,7,,14.9%,,7,,13.7%,,7,,14.9%,
Boys School,,3,,7.0%,,3,,6.3%,,5,,10.6%,,5,,9.8%,,2,,4.3%,
Girls School,,1,,2.3%,,1,,2.1%,,2,,4.3%,,2,,3.9%,,3,,6.4%,
Detention,,2,,4.7%,,6,,12.5%,,2,,4.3%,,5,,9.8%,,4,,8.5%,
Crisis Center,,4,,9.3%,,4,,8.3%,,3,,6.4%,,2,,3.9%,,0,,0.0%,
Hospital,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
State Hospital,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Jail,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Runaway,,0,,0.0%,,1,,2.1%,,0,,0.0%,,1,,2.0%,,1,,2.1%,
Interim,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Unknown,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,,0,,0.0%,
Date data are based,,"Jan 31, 2018",,,,"Feb 28, 2018",,,,"Mar 31, 2018",,,,"Apr 30, 2018",,,,"May 31, 2018",,,
Legend,,,,,,,,,,,,,,,,,,,,,
Total Children in Care,,,,,,Total children on caseload anytime on the last day of the Report Period,,,,,,,,,,,,,,,
Total Family-like setting,,,,,,(of Total) Children placed in a family-like setting,,,,,,,,,,,,,,,
Relative foster home,,,,,,Relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Non-relative foster home,,,,,,Non-relative foster home (sub category of Substitute Care),,,,,,,,,,,,,,,
Pre-adoptive home,,,,,,Pre-adoptive home (sub category of Substitute Care),,,,,,,,,,,,,,,
Trial Home Visit,,,,,,Trial Home Visit (sub category of Family Like setting),,,,,,,,,,,,,,,
Supervised Independent Living,,,,,,Supervised Independent Living (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Non Relative,,,,,,Long Term FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Long Term FC Relative,,,,,,Long Term FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Non Relative,,,,,,Specialized FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Specialized FC Relative,,,,,,Specialized FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Non Relative,,,,,,Therapeutic FC Non Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Therapeutic FC Relative,,,,,,Therapeutic FC Relative (sub category of Family Like setting),,,,,,,,,,,,,,,
Total Group Care,,,,,,(of Total) Children placed in group care setting,,,,,,,,,,,,,,,
Group Home,,,,,,Group home or residential placement setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Residential Treatment,,,,,,Children in an Residential Treatment setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Psychiatric RTC,,,,,,Children in a Psychiatric RTC setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Boys School,,,,,,Children in a Boys School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Girls School,,,,,,Children in a Girls School setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Detention,,,,,,Children in a Detention setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Crisis Center,,,,,,Children in a Crisis Center setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Hospital,,,,,,Children in a Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
State Hospital,,,,,,Children in a State Hospital setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Jail,,,,,,Children in a Jail setting (sub-category of Total Group Care),,,,,,,,,,,,,,,
Runaway,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Interim,,,,,,(of Total) Child in runaway status on last day of the Report Period,,,,,,,,,,,,,,,
Unknown,,,,,,(of Total) Children whose placement setting is unknown,,,,,,,,,,,,,,,
Date data are based,,,,,,The point in time date on which the level of care data are reported,,,,,,,,,,,,,,,
Selected Filter(s),,,,,,,,,,,,,,,,,,,,,
Program Type Equals Probation,,,,,,,,,,,,,,,,,,,,,
Judicial District Equals Judicial District 1,,,,,,,,,,,,,,,,,,,,,
